championId,win,ban,version
18,1,24,8.7
39,0,12,8.7
50,0,164,8.7
72,1,25,8.7
13,0,145,8.7
64,1,110,8.7
69,0,41,8.7
81,1,39,8.7
81,1,143,8.7
27,0,114,8.7
117,0,2,8.7
51,0,157,8.7
2,0,121,8.7
154,0,-1,8.7
516,0,497,8.7
13,0,41,8.7
154,1,13,8.7
8,0,163,8.7
164,1,-1,8.7
8,1,2,8.7
223,1,25,8.7
164,1,8,8.7
69,1,114,8.7
145,0,38,8.7
498,1,39,8.7
163,0,-1,8.7
121,0,145,8.7
110,0,12,8.7
142,0,-1,8.7
245,0,163,8.7
222,0,41,8.7
240,1,145,8.7
50,0,121,8.7
41,1,25,8.7
13,0,164,8.7
12,0,51,8.7
81,0,-1,8.7
142,0,-1,8.7
41,1,145,8.7
13,0,145,8.7
50,0,223,8.7
164,1,136,8.7
202,1,25,8.7
5,0,14,8.7
2,1,-1,8.7
2,0,69,8.7
121,0,64,8.7
114,0,25,8.7
50,0,13,8.7
25,1,145,8.7
5,1,41,8.7
2,1,121,8.7
110,0,15,8.7
498,1,2,8.7
164,1,51,8.7
201,1,41,8.7
21,1,145,8.7
50,0,-1,8.7
51,1,121,8.8
202,0,41,8.8
164,1,25,8.8
497,1,72,8.8
497,0,-1,8.8
98,0,145,8.8
41,1,69,8.8
40,0,412,8.8
12,0,268,8.7
96,1,39,8.7
24,1,122,8.7
41,0,497,8.7
121,0,41,8.7
26,1,2,8.7
30,1,223,8.7
13,0,121,8.7
164,0,-1,8.7
136,1,498,8.7
43,1,5,8.7
154,0,121,8.7
163,0,5,8.7
68,1,145,8.7
51,1,5,8.7
64,0,145,8.7
48,1,5,8.7
27,0,13,8.7
142,0,114,8.7
142,0,25,8.7
8,0,5,8.7
50,0,121,8.7
201,1,76,8.7
223,1,76,8.7
51,0,121,8.7
81,1,5,8.7
41,0,33,8.7
69,1,145,8.7
81,1,267,8.7
72,0,121,8.7
136,0,145,8.7
202,0,51,8.7
223,0,-1,8.7
43,1,498,8.7
18,0,12,8.7
14,0,27,8.7
81,1,268,8.7
51,0,-1,8.7
13,0,5,8.7
43,1,25,8.7
12,1,268,8.7
58,0,2,8.7
48,0,25,8.7
38,1,201,8.7
51,0,13,8.7
14,0,145,8.7
8,0,121,8.7
497,1,-1,8.7
90,1,121,8.7
121,1,164,8.7
40,0,25,8.7
98,0,5,8.7
223,1,-1,8.7
48,0,-1,8.7
157,0,163,8.7
202,0,-1,8.7
142,0,-1,8.7
202,1,497,8.7
14,0,39,8.7
24,0,81,8.7
41,1,3,8.7
30,0,163,8.7
412,1,39,8.7
142,1,121,8.7
48,1,121,8.7
223,1,121,8.7
2,1,81,8.7
58,1,39,8.7
81,0,24,8.7
110,0,58,8.7
51,0,121,8.7
114,1,145,8.7
110,1,164,8.7
51,0,145,8.7
68,0,13,8.7
41,1,142,8.6
126,0,48,8.6
43,0,114,8.6
223,0,-1,8.6
142,0,25,8.6
21,1,498,8.6
81,1,498,8.6
121,0,8,8.6
27,0,145,8.6
202,0,50,8.6
13,1,497,8.6
104,0,28,8.6
13,0,268,8.6
202,1,50,8.6
498,1,69,8.6
121,1,41,8.6
2,0,107,8.6
41,1,2,8.6
145,1,86,8.6
51,1,76,8.6
72,0,41,8.6
24,1,107,8.6
51,1,76,8.6
113,0,13,8.6
81,1,145,8.6
163,1,145,8.6
202,0,2,8.6
516,0,-1,8.6
112,1,76,8.6
55,0,13,8.6
13,0,145,8.6
202,0,145,8.6
64,1,24,8.6
121,1,13,8.6
8,1,498,8.6
201,0,7,8.6
13,0,-1,8.6
81,1,223,8.6
8,0,497,8.6
41,0,13,8.6
51,1,-1,8.6
141,1,2,8.6
11,0,412,8.6
13,0,2,8.6
64,0,163,8.6
98,1,223,8.6
13,1,2,8.6
58,1,41,8.6
110,1,30,8.6
44,0,50,8.6
498,1,76,8.6
41,1,110,8.6
43,1,145,8.6
18,1,2,8.6
25,0,51,8.6
2,1,-1,8.6
81,0,154,8.6
16,1,3,8.6
498,1,2,8.6
105,0,38,8.6
90,1,163,8.6
2,0,238,8.6
76,0,7,8.6
38,0,498,8.6
268,1,164,8.8
64,0,13,8.8
48,1,27,8.8
12,0,50,8.8
27,1,25,8.8
38,0,13,8.8
48,1,497,8.8
113,0,163,8.7
81,1,13,8.7
40,1,223,8.7
51,0,64,8.7
142,1,59,8.7
25,1,145,8.7
51,1,121,8.7
121,1,39,8.7
50,1,12,8.7
18,1,41,8.7
85,0,-1,8.7
4,0,76,8.7
13,1,23,8.7
421,0,33,8.7
72,1,121,8.7
223,0,5,8.7
13,0,-1,8.7
202,0,81,8.7
44,0,145,8.7
4,1,121,8.7
27,1,41,8.7
12,0,497,8.7
13,0,76,8.7
114,0,12,8.7
105,0,39,8.7
48,1,498,8.7
12,1,114,8.7
150,0,41,8.7
58,0,41,8.7
5,0,145,8.7
2,1,-1,8.7
25,1,38,8.7
154,1,51,8.7
2,1,497,8.7
84,0,41,8.7
145,1,14,8.6
201,0,121,8.6
11,0,145,8.6
164,1,121,8.8
145,1,498,8.8
7,1,122,8.8
497,0,64,8.8
3,0,13,8.8
56,1,81,8.8
39,0,25,8.8
